Name,Industry,Color,Ticker,Date of IPO,"Value at IPO, $B/M","Value at IPO, Number",Circle Radius at IPO,"Value Now, $B","Value Now, Number",Circle Radius Now,Value Change (%),IPO Share Price (USD),Color2,>35% Female Employees,Percentage of Female Employees,Percentage of Male Employees,4+ Stars on Glassdoor,Stars on Glassdoor,"ROI, 5-Yr Average (%)",10+ Acquisitions,Number of Acquisitions,60+ Investments,Number of Investments,10+ Investors,Number of Investors,>40% Minority Employees,Percentage of Minority Employees,Recommend to Friend,Approve of CEO
Intel,Consumer Products,#73F15A,INTC,1971,6800000,6.8 million,7.146009909,2.33E+11,233 billion,6153.449494,3426371,23,#5968FF,FALSE,26%,74%,FALSE,3.8,13.46,TRUE,87,FALSE,54,FALSE,2,TRUE,52%,75%,68%
HP,Consumer Products,#73F15A,HP,1978,662000000,662 million,12.66505992,3.50E+11,349.6 billion,7044.613023,52710,16,#5968FF,TRUE,37%,63%,FALSE,3.4,4.34,TRUE,100,FALSE,29,FALSE,0,FALSE,27%,76%,93%
Apple,Consumer Products,#73F15A,APPL,1980,3400000000,3.4 billion,15.53942213,8.64E+11,862.7 billion,9523.37733,25304,22,#5968FF,FALSE,32%,68%,TRUE,4,27.29,TRUE,97,FALSE,10,FALSE,3,TRUE,46%,79%,92%
Microsoft,Consumer Products,#73F15A,MSFT,1986,1100000000,1.1 billion,13.49503719,7.13E+11,713.2 billion,8934.295149,64732,21,#5968FF,FALSE,26%,74%,TRUE,4.1,17.9,TRUE,201,TRUE,90,FALSE,1,TRUE,44%,85%,96%
Dell,Consumer Products,#73F15A,DELL,1988,350000000,350 million,11.69522296,1.41E+11,141 billion,5204.827863,40186,9,#5968FF,FALSE,28%,72%,FALSE,3.7,,TRUE,34,FALSE,29,FALSE,0,FALSE,31%,76%,89%
Amazon,Ecommerce,#ff0000,AMZN,1997,438000000,438 million,12.02774643,7.02E+11,702 billion,8887.319399,160165,18,#5968FF,TRUE,39%,61%,FALSE,3.8,3.12,TRUE,80,TRUE,60,FALSE,2,TRUE,52%,74%,87%
eBay,Ecommerce,#ff0000,EBAY,1998,63000000,63 million,9.438817057,40000000000,40 billion,3419.951893,63392,18,#5968FF,TRUE,38%,62%,FALSE,3.7,12.02,TRUE,62,FALSE,42,FALSE,1,TRUE,48%,71%,86%
Akamai,High Tech,#BD10E0,AKAM,1999,16000000000,16 billion,18.85884095,12140000000,12.1 billion,2298.297417,-24,26,#F62536,NONE,Not public data.,Not public data.,FALSE,3.7,8.88,TRUE,25,FALSE,10,FALSE,1,NONE,Not public data.,74%,88%
Netflix,Entertainment,#e87881,NFLX,2002,300000000,300 million,11.4720269,1.26E+11,126.3 billion,5017.803201,42013,15,#5968FF,TRUE,41%,59%,FALSE,3.6,4.16,FALSE,2,FALSE,2,FALSE,7,TRUE,56%,69%,88%
PayPal,FinTech,#ada1a2,PYPL,2002,47000000000,47 billion,21.57805185,92310000000,92.3 billion,4519.422225,96,13,#5968FF,TRUE,44%,56%,FALSE,3.6,12.27,TRUE,13,FALSE,24,TRUE,26,TRUE,44%,69%,86%
Alphabet,Software,#210be5,GOOG,2004,28000000000,28 billion,20.22528984,7.23E+11,722.9 billion,8974.826775,2482,85,#5968FF,FALSE,33%,67%,TRUE,4.4,12.53,TRUE,224,TRUE,65,TRUE,13,FALSE,35%,90%,95%
Salesforce,High Tech,#BD10E0,CRM,2004,1300000000,1.3 billion,13.77980015,85540000000,85.5 billion,4406.120958,6480,11,#5968FF,FALSE,31%,69%,TRUE,4.3,-1.62,TRUE,51,FALSE,15,TRUE,17,FALSE,35%,87%,97%
Dolby Labs,High Tech,#BD10E0,DLB,2005,2100000000,2.1 billion,14.6311146,6630000000,6.6 billion,1878.615247,216,18,#5968FF,NONE,Not public data.,Not public data.,FALSE,3.4,10.87,FALSE,3,FALSE,0,FALSE,0,NONE,Not public data.,54%,54%
Netsuite,High Tech,#BD10E0,N,2007,1700000000,1.7 billion,14.24971293,1.85E+11,185.1 billion,5698.737794,10786,26,#5968FF,NONE,Not public data.,Not public data.,FALSE,3.7,-22.81,FALSE,8,FALSE,1,FALSE,7,NONE,Not public data.,76%,90%
VMWare,Data & Analytics,#f9f22a,VMW,2007,17000000000,17 billion,19.00229759,48440000000,48.4 billion,3645.312052,185,29,#5968FF,FALSE,24%,76%,TRUE,4.2,10.49,TRUE,31,FALSE,22,FALSE,7,TRUE,44%,87%,95%
Sensata Tech,High Tech,#BD10E0,ST,2010,3100000000,3.1 billion,15.36102556,9000000000,9 billion,2080.083823,190,18,#5968FF,NONE,Not public data.,Not public data.,FALSE,3.1,6.96,FALSE,4,FALSE,1,FALSE,0,NONE,Not public data.,49%,52%
Tesla,Hardware,#f788c7,TSLA,2010,2000000000,2 billion,14.54215433,47260000000,47.3 billion,3615.46842,2263,17,#5968FF,NONE,Not public data.,Not public data.,FALSE,3.4,-13.46,FALSE,4,FALSE,2,TRUE,33,NONE,Not public data.,58%,85%
LinkedIn,Social Media,#5BD0FB,LNKD,2011,4300000000,4.3 billion,16.00234233,14200000000,14.2 billion,2421.56491,230,45,#5968FF,TRUE,42%,58%,TRUE,4.4,,TRUE,20,FALSE,5,TRUE,13,TRUE,48%,88%,98%
Groupon,Ecommerce,#ff0000,GRPN,2011,13000000000,13 billion,18.37565883,2400000000,2.4 billion,1338.8659,-82,20,#F62536,TRUE,44%,56%,FALSE,3.2,20.87,TRUE,36,FALSE,7,TRUE,20,FALSE,38%,53%,73%
Zynga,Entertainment,#e87881,ZNGA,2011,7000000000,7 billion,17.00737372,2950000000,3 billion,1434.192142,-58,10,#F62536,NONE,Not public data.,Not public data.,FALSE,3.7,-4.86,TRUE,30,FALSE,0,TRUE,21,NONE,Not public data.,63%,81%
Zillow,Ecommerce,#ff0000,ZG,2011,500000000,0.5 billion,12.22844545,6810000000,6.8 billion,1895.464714,1262,20,#5968FF,TRUE,40%,60%,TRUE,4.2,-5.79,TRUE,11,FALSE,3,FALSE,4,NONE,Not public data.,82%,92%
Pandora,Entertainment,#e87881,P,2011,2600000000,2.6 billion,15.02697862,1210000000,1.2 billion,1065.602237,-53,16,#F62536,TRUE,49%,51%,FALSE,3.4,-25.42,FALSE,5,FALSE,0,TRUE,19,FALSE,35%,59%,82%
Facebook,Social Media,#5BD0FB,FB,2012,1.04E+11,104 billion,23.83028122,4.66E+11,466 billion,7753.082367,348,38,#5968FF,TRUE,35%,65%,TRUE,4.6,14.02,TRUE,74,FALSE,12,TRUE,21,TRUE,51%,93%,98%
Splunk,Data & Analytics,#f9f22a,SPLK,2012,1600000000,1.6 billion,14.14213562,13940000000,13.9 billion,2406.694273,771,17,#5968FF,FALSE,25%,75%,FALSE,3.6,-28.08,FALSE,6,FALSE,2,FALSE,6,FALSE,35%,60%,84%
Yelp,Ecommerce,#ff0000,YELP,2012,1500000000,1.5 billion,14.02850552,3470000000,3.5 billion,1513.944048,131,15,#5968FF,TRUE,47%,53%,FALSE,3.2,2.72,FALSE,7,FALSE,1,FALSE,6,FALSE,29%,50%,82%
Workday,Software,#210be5,WDAY,2012,600000000,0.6 billion,12.51033405,26520000000,26.5 billion,2982.115819,4320,28,#5968FF,TRUE,40%,60%,FALSE,3.9,-17.15,FALSE,9,FALSE,3,FALSE,8,TRUE,43%,75%,91%
Twitter,Social Media,#5BD0FB,TWTR,2013,24600000000,24.6 billion,19.90063289,21270000000,21.3 billion,2770.697822,-14,26,#F62536,TRUE,37%,63%,TRUE,4,-13.32,TRUE,50,FALSE,2,TRUE,29,TRUE,43%,79%,82%
Tableau Software,Data & Analytics,#f9f22a,DATA,2013,2900000000,2.9 billion,15.23350185,6550000000,6.6 billion,1871.028631,126,31,#5968FF,NONE,Not public data.,Not public data.,FALSE,3.8,-9.28,FALSE,3,FALSE,0,FALSE,2,NONE,Not public data.,70%,82%
